																																																																			
Income from indivduals from 2001 to 2021																																																																			
																																																																			
	2001			2002			2003			2004			2005			2006			2007			2008			2009				2010			2011			2012			2013			2014			2015			2016			2017			2018				2019			2020			2021				
taxable income	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Taxable Income	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)		Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)		
																												"bands to $300,000"																																							
																																																																			
"$16,001  - $17,000"	"51,980"	857.1	154.9	"49,690"	818.9	144.0	"50,360"	830.6	146.1	"64,120"	"1,054.5"	185.3	"71,870"	"1,181.1"	207.4	"139,230"	"2,262.3"	396.1	"141,800"	"2,350.4"	413.0	"127,090"	"2,068.5"	362.2	"87,990"	"1,445.7"	226.0	"$16,001  - $17,000"	"92,520"	"1,528.3"	210.7	"95,350"	"1,581.2"	200.7	"93,070"	"1,556.1"	181.0	"49,270"	813.1	93.9	"188,400"	"3,058.0"	350.5	"191,340"	"3,170.5"	367.3	"204,040"	"3,426.4"	399.3	"54,690"	903.0	104.3	"53,030"	878.1	101.7	"$16,001  - $17,000"	"41,680"	687.5	79.5	"89,230"	"1,455.1"	167.2	"34,290"	565.7	65.4		
"$17,001  - $18,000"	"49,580"	868.1	158.2	"48,580"	850.2	151.1	"51,480"	901.7	160.3	"49,020"	857.5	152.4	"49,360"	862.8	153.4	"50,380"	880.7	156.6	"49,160"	860.1	152.9	"139,010"	"2,431.1"	431.6	"90,130"	"1,568.6"	250.0	"$17,001  - $18,000"	"94,590"	"1,651.5"	234.0	"89,830"	"1,584.8"	207.4	"51,790"	905.8	107.6	"87,760"	"1,528.0"	181.3	"81,460"	"1,423.1"	169.1	"69,970"	"1,228.8"	146.4	"58,320"	"1,022.8"	121.6	"199,300"	"3,480.5"	413.5	"151,200"	"2,670.8"	319.2	"$17,001  - $18,000"	"53,130"	928.1	110.3	"38,110"	666.7	79.3	"34,020"	595.4	70.8		
"$18,001  - $19,000"	"47,120"	871.4	159.4	"46,980"	869.0	155.9	"47,770"	883.2	158.5	"46,180"	853.6	153.2	"47,900"	885.6	159.0	"46,820"	866.4	155.5	"47,970"	885.7	158.9	"50,400"	933.4	167.5	"137,850"	"2,573.3"	419.0	"$18,001  - $19,000"	"139,520"	"2,621.5"	384.3	"51,910"	960.3	128.4	"88,460"	"1,639.5"	200.0	"47,390"	876.4	106.8	"45,330"	838.9	102.3	"52,720"	971.6	118.3	"64,300"	"1,182.9"	143.7	"48,520"	898.4	109.5	"63,940"	"1,181.4"	144.1	"$18,001  - $19,000"	"161,860"	"2,969.2"	361.0	"53,370"	987.4	120.5	"107,310"	"1,970.8"	239.7		
"$19,001 -  $20,000"	"44,980"	876.8	161.8	"44,410"	867.1	157.0	"47,420"	924.7	167.4	"45,280"	883.2	159.9	"44,780"	873.4	158.1	"43,860"	855.8	155.0	"44,760"	873.0	158.0	"43,280"	844.6	152.8	"45,430"	885.5	145.9	"$19,001 -  $20,000"	"48,610"	946.1	140.6	"140,120"	"2,723.9"	372.1	"51,950"	"1,013.7"	126.3	"90,920"	"1,756.4"	218.1	"90,330"	"1,766.0"	220.4	"42,680"	832.0	103.7	"46,020"	897.3	111.8	"71,580"	"1,391.9"	173.0	"79,040"	"1,542.6"	192.5	"$19,001 -  $20,000"	"80,780"	"1,582.5"	197.8	"158,840"	"3,096.8"	386.3	"161,150"	"3,135.2"	390.7		
"$20,000 -  $21,000"	"44,270"	907.8	168.9	"45,790"	939.0	171.3	"45,310"	929.0	169.5	"48,560"	995.6	181.7	"44,010"	902.0	164.5	"43,090"	883.4	161.2	"41,570"	852.0	155.4	"44,380"	909.0	165.7	"43,050"	882.2	147.2	"$20,000 -  $21,000"	"42,020"	861.5	130.7	"42,710"	876.2	122.2	"137,090"	"2,785.0"	352.9	"142,360"	"2,944.4"	375.6	"48,630"	995.6	126.5	"89,400"	"1,817.5"	230.3	"88,930"	"1,828.6"	232.6	"44,110"	904.0	114.9	"49,360"	"1,011.6"	128.6	"$20,000 -  $21,000"	"52,570"	"1,076.8"	136.9	"84,360"	"1,724.2"	219.1	"61,930"	"1,268.1"	161.2		
"$21,001 -  $22,000"	"43,120"	927.2	172.8	"42,430"	912.2	167.5	"42,740"	918.6	168.7	"44,360"	953.6	175.2	"43,040"	924.9	169.9	"41,500"	891.9	163.9	"42,290"	909.0	167.0	"39,730"	853.9	156.8	"38,450"	826.1	139.6	"$21,001 -  $22,000"	"40,500"	870.7	134.5	"40,480"	870.0	123.4	"39,910"	858.2	110.8	"38,810"	834.0	107.8	"138,760"	"2,966.1"	383.0	"141,530"	"3,083.8"	400.9	"43,400"	933.0	120.6	"87,660"	"1,870.6"	241.3	"79,210"	"1,704.0"	220.6	"$21,001 -  $22,000"	"46,750"	"1,004.8"	130.0	"50,420"	"1,083.6"	140.2	"49,970"	"1,073.9"	138.9		
"$22,001  - $23,000"	"41,110"	924.7	173.0	"43,550"	979.9	181.1	"41,980"	945.1	174.7	"41,540"	935.1	172.9	"42,010"	945.5	174.8	"42,410"	954.8	176.4	"44,680"	"1,005.2"	185.8	"40,810"	918.1	169.7	"39,760"	894.4	152.7	"$22,001  - $23,000"	"36,030"	811.0	127.2	"36,630"	824.4	118.8	"37,520"	844.6	110.8	"37,640"	846.6	111.1	"38,570"	868.4	114.0	"38,070"	856.8	112.5	"142,670"	"3,200.3"	419.9	"47,960"	"1,077.8"	141.4	"52,370"	"1,177.6"	154.7	"$22,001  - $23,000"	"84,700"	"1,894.5"	248.5	"45,790"	"1,030.3"	135.4	"86,460"	"1,947.9"	256.1		
"$23,001  - $24,000"	"42,810"	"1,005.5"	189.1	"41,930"	985.1	183.1	"41,920"	985.5	183.2	"43,170"	"1,014.6"	188.6	"44,000"	"1,034.1"	192.3	"41,350"	972.1	180.8	"41,160"	967.6	179.9	"39,680"	932.3	173.3	"40,710"	956.5	165.0	"$23,001  - $24,000"	"37,740"	886.9	140.8	"36,410"	856.1	124.9	"37,090"	872.1	115.9	"35,630"	837.2	111.2	"36,050"	847.7	112.7	"36,810"	865.5	115.1	"37,590"	883.4	117.5	"143,840"	"3,332.4"	441.7	"114,760"	"2,693.6"	358.8	"$23,001  - $24,000"	"46,900"	"1,102.1"	146.8	"82,360"	"1,938.4"	258.3	"85,680"	"2,013.5"	268.3		
"$24,001  - $25,000"	"41,950"	"1,028.5"	193.8	"40,100"	982.8	183.6	"41,480"	"1,016.6"	190.0	"44,940"	"1,100.9"	205.7	"41,530"	"1,016.9"	190.0	"42,340"	"1,037.6"	193.9	"40,990"	"1,004.3"	187.7	"40,540"	993.6	185.7	"38,470"	943.2	164.2	"$24,001  - $25,000"	"36,090"	884.9	136.5	"37,770"	925.3	129.6	"37,800"	925.8	117.5	"38,630"	946.7	119.8	"38,760"	949.2	120.0	"39,360"	964.4	122.3	"39,160"	959.3	121.1	"39,320"	963.1	121.7	"55,160"	"1,350.4"	174.1	"$24,001  - $25,000"	"119,030"	"2,890.9"	379.9	"48,320"	"1,183.4"	150.7	"48,430"	"1,186.1"	152.4		
"$25,001  - $26,000"	"40,990"	"1,045.6"	198.1	"39,970"	"1,019.2"	191.3	"40,130"	"1,023.4"	192.1	"40,620"	"1,036.0"	194.5	"41,890"	"1,068.0"	200.6	"40,890"	"1,043.2"	195.9	"40,600"	"1,035.0"	194.4	"39,290"	"1,001.6"	188.1	"39,390"	"1,004.9"	176.4	"$25,001  - $26,000"	"36,350"	927.0	145.0	"37,270"	950.5	135.3	"36,280"	925.0	118.8	"37,020"	944.2	121.5	"35,580"	907.5	117.0	"36,870"	940.0	120.4	"36,660"	935.0	119.8	"38,440"	980.3	125.7	"47,680"	"1,215.8"	158.2	"$25,001  - $26,000"	"50,510"	"1,287.4"	166.9	"111,000"	"2,842.4"	380.0	"127,540"	"3,257.6"	437.6		
