																																																																			
Income from indivduals from 2001 to 2021																																																																			
																																																																			
	2001			2002			2003			2004			2005			2006			2007			2008			2009				2010			2011			2012			2013			2014			2015			2016			2017			2018				2019			2020			2021				
taxable income	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Taxable Income	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)		Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)		
																												"bands to $300,000"																																							
																																																																			
"$58,001  - $59,000"	"10,160"	594.4	144.0	"11,970"	700.4	169.7	"14,040"	821.3	199.0	"14,460"	845.7	204.9	"16,020"	937.4	227.2	"18,890"	"1,105.8"	268.0	"18,060"	"1,056.5"	256.0	"21,490"	"1,257.1"	304.6	"20,780"	"1,215.5"	285.6	"$58,001  - $59,000"	"19,080"	"1,115.9"	235.7	"20,110"	"1,176.4"	230.5	"21,200"	"1,240.0"	224.0	"22,940"	"1,342.0"	242.5	"23,650"	"1,383.1"	249.8	"24,510"	"1,433.8"	259.1	"25,430"	"1,487.8"	268.2	"26,420"	"1,545.5"	278.6	"27,620"	"1,615.7"	291.9	"$58,001  - $59,000"	"29,480"	"1,724.6"	311.6	"31,380"	"1,835.8"	331.7	"32,210"	"1,883.9"	340.4		
"$59,001  - $60,000"	"16,360"	975.7	238.0	"20,150"	"1,201.9"	293.2	"22,800"	"1,360.0"	331.8	"24,660"	"1,471.3"	359.0	"24,900"	"1,485.4"	362.4	"25,910"	"1,545.1"	376.9	"27,370"	"1,632.1"	398.2	"28,170"	"1,679.2"	409.6	"25,350"	"1,510.3"	357.4	"$59,001  - $60,000"	"21,390"	"1,273.7"	271.7	"21,450"	"1,277.0"	252.9	"22,340"	"1,330.1"	243.1	"22,040"	"1,311.5"	239.6	"21,880"	"1,302.5"	238.0	"23,180"	"1,379.9"	252.2	"25,800"	"1,535.8"	280.0	"26,820"	"1,596.7"	291.2	"28,200"	"1,678.7"	306.7	"$59,001  - $60,000"	"29,270"	"1,742.1"	318.3	"31,490"	"1,873.9"	342.4	"32,050"	"1,907.2"	348.4		
"$60,001  - $61,000"	"12,970"	783.8	192.4	"15,240"	920.3	225.8	"16,000"	966.8	237.4	"18,280"	"1,104.5"	271.2	"19,050"	"1,151.6"	282.8	"20,680"	"1,249.7"	306.8	"21,950"	"1,327.1"	325.9	"22,540"	"1,362.4"	334.6	"21,010"	"1,270.0"	302.6	"$60,001  - $61,000"	"18,150"	"1,097.3"	236.0	"19,960"	"1,207.6"	241.4	"21,080"	"1,275.5"	235.5	"20,570"	"1,244.1"	229.6	"22,090"	"1,336.5"	246.8	"24,420"	"1,477.3"	272.7	"24,170"	"1,461.8"	269.3	"24,840"	"1,502.5"	276.9	"26,770"	"1,619.3"	298.9	"$60,001  - $61,000"	"28,630"	"1,732.1"	319.8	"30,550"	"1,848.0"	341.2	"31,730"	"1,919.1"	354.3		
"$61,001  - $62,000"	"8,930"	548.9	136.1	"9,540"	586.5	145.4	"10,770"	662.2	164.2	"14,390"	884.8	219.5	"14,780"	909.3	225.6	"14,430"	887.5	220.2	"16,450"	"1,011.6"	250.9	"18,960"	"1,165.9"	289.2	"18,740"	"1,151.8"	276.7	"$61,001  - $62,000"	"19,420"	"1,194.3"	259.1	"18,870"	"1,160.3"	234.1	"18,230"	"1,121.6"	209.2	"21,620"	"1,329.2"	247.8	"22,130"	"1,360.8"	253.8	"23,770"	"1,461.7"	272.6	"23,120"	"1,421.7"	264.6	"24,050"	"1,479.0"	275.2	"25,640"	"1,576.7"	294.1	"$61,001  - $62,000"	"27,720"	"1,704.9"	318.0	"29,030"	"1,785.0"	332.9	"30,250"	"1,860.3"	346.9		
"$62,001  - $63,000"	"6,960"	434.9	108.8	"8,650"	540.9	135.5	"9,940"	621.2	155.5	"12,260"	766.1	191.8	"11,990"	749.4	187.6	"13,220"	826.0	206.7	"14,540"	908.7	227.4	"16,970"	"1,060.9"	265.6	"17,990"	"1,124.9"	272.5	"$62,001  - $63,000"	"18,110"	"1,131.9"	247.7	"18,430"	"1,152.2"	234.6	"18,080"	"1,130.1"	212.8	"19,040"	"1,190.0"	224.1	"20,220"	"1,263.4"	237.9	"21,550"	"1,346.7"	253.6	"22,630"	"1,414.6"	265.7	"23,980"	"1,498.5"	281.6	"25,020"	"1,563.7"	294.5	"$62,001  - $63,000"	"27,080"	"1,692.5"	318.7	"28,860"	"1,803.9"	339.7	"29,980"	"1,873.4"	352.8		
"$63,001  - $64,000"	"6,240"	396.0	100.0	"9,340"	592.8	149.6	"8,360"	530.8	134.0	"10,700"	679.5	171.6	"12,480"	792.2	200.0	"13,310"	845.3	213.5	"14,780"	938.6	237.0	"14,370"	912.8	230.5	"17,360"	"1,102.4"	269.1	"$63,001  - $64,000"	"16,990"	"1,078.8"	237.9	"17,560"	"1,115.1"	228.9	"18,730"	"1,189.1"	226.0	"19,270"	"1,223.9"	232.7	"20,440"	"1,297.8"	246.7	"20,500"	"1,301.7"	247.4	"21,730"	"1,380.0"	261.9	"22,530"	"1,430.6"	271.4	"24,240"	"1,539.0"	292.5	"$63,001  - $64,000"	"25,750"	"1,635.3"	310.8	"27,970"	"1,776.1"	337.6	"28,910"	"1,835.7"	348.9		
"$64,001  - $65,000"	"6,220"	401.4	102.2	"7,150"	461.2	117.4	"7,380"	476.2	121.3	"9,730"	627.6	159.8	"11,020"	711.0	181.1	"13,170"	849.4	216.3	"14,790"	953.7	242.8	"15,430"	995.9	253.7	"18,150"	"1,171.2"	288.1	"$64,001  - $65,000"	"16,910"	"1,091.6"	242.7	"18,010"	"1,162.3"	240.7	"18,300"	"1,180.8"	226.5	"19,380"	"1,250.5"	239.9	"20,650"	"1,332.0"	255.5	"21,110"	"1,362.1"	261.3	"21,810"	"1,407.1"	269.4	"23,020"	"1,485.4"	284.4	"24,280"	"1,566.1"	300.4	"$64,001  - $65,000"	"25,720"	"1,659.1"	318.2	"27,830"	"1,795.3"	344.3	"28,410"	"1,832.5"	351.5		
"$65,001  - $66,000"	"6,240"	408.6	104.9	"6,520"	427.2	109.7	"7,710"	505.0	129.6	"8,610"	564.0	144.8	"10,310"	675.0	173.2	"10,960"	717.9	184.3	"12,950"	848.2	217.8	"14,700"	962.8	247.1	"16,010"	"1,048.7"	259.7	"$65,001  - $66,000"	"15,630"	"1,023.6"	229.1	"16,660"	"1,091.0"	227.6	"18,460"	"1,208.6"	233.7	"18,240"	"1,194.2"	230.9	"21,000"	"1,375.4"	266.0	"20,680"	"1,354.5"	262.0	"21,000"	"1,375.7"	265.5	"22,060"	"1,444.8"	278.8	"23,600"	"1,546.0"	299.0	"$65,001  - $66,000"	"25,250"	"1,653.5"	319.8	"27,060"	"1,772.0"	342.7	"27,590"	"1,807.1"	349.5		
"$66,001  - $67,000"	"5,820"	386.8	100.1	"6,040"	401.6	103.9	"7,350"	488.9	126.5	"8,240"	547.9	141.7	"9,400"	625.2	161.8	"10,740"	714.1	184.7	"12,190"	810.9	209.8	"14,480"	962.9	249.1	"14,200"	944.3	235.4	"$66,001  - $67,000"	"14,530"	966.1	217.8	"15,350"	"1,020.7"	214.6	"17,460"	"1,161.1"	226.5	"16,850"	"1,120.4"	218.5	"18,940"	"1,259.4"	245.6	"18,310"	"1,217.6"	237.5	"20,370"	"1,354.3"	263.6	"21,360"	"1,420.1"	276.5	"22,720"	"1,511.2"	294.7	"$66,001  - $67,000"	"24,280"	"1,614.3"	314.8	"26,050"	"1,732.2"	337.8	"26,920"	"1,790.0"	349.1		
"$67,001  - $68,000"	"5,600"	378.2	98.6	"5,480"	370.0	96.5	"6,570"	443.6	115.6	"8,080"	545.4	142.2	"8,980"	606.3	158.0	"9,000"	607.4	158.3	"12,980"	876.1	228.4	"13,580"	916.8	239.0	"13,610"	918.7	230.6	"$67,001  - $68,000"	"14,330"	967.6	219.7	"16,390"	"1,106.8"	234.5	"18,420"	"1,243.4"	244.4	"17,680"	"1,193.2"	234.5	"18,460"	"1,245.9"	244.9	"19,370"	"1,307.4"	257.0	"20,190"	"1,362.9"	267.4	"21,310"	"1,438.4"	282.2	"22,450"	"1,515.6"	298.0	"$67,001  - $68,000"	"23,690"	"1,599.1"	314.4	"25,760"	"1,738.6"	341.8	"26,710"	"1,803.2"	354.5		
"$68,001  - $69,000"	"5,210"	356.7	93.6	"5,300"	363.1	95.3	"6,980"	478.2	125.5	"7,190"	492.3	129.2	"7,640"	523.2	137.3	"9,470"	648.6	170.3	"11,340"	776.6	203.9	"12,800"	876.9	230.2	"13,610"	932.5	235.5	"$68,001  - $69,000"	"14,530"	995.1	227.4	"15,920"	"1,090.9"	232.7	"16,850"	"1,154.6"	228.8	"17,470"	"1,197.0"	237.1	"19,490"	"1,335.3"	264.5	"18,730"	"1,282.9"	254.1	"19,610"	"1,343.3"	265.5	"20,610"	"1,411.7"	279.0	"22,460"	"1,538.4"	304.8	"$68,001  - $69,000"	"24,080"	"1,649.7"	326.8	"25,510"	"1,747.6"	346.2	"26,560"	"1,819.4"	360.4		
"$69,001 -  $70,000"	"4,800"	333.6	88.2	"4,780"	332.3	87.9	"5,770"	401.3	106.1	"7,250"	504.0	133.3	"7,880"	547.4	144.7	"9,810"	681.9	180.3	"10,970"	762.7	201.7	"12,140"	843.7	223.1	"14,520"	"1,009.8"	256.7	"$69,001 -  $70,000"	"18,820"	"1,310.0"	301.5	"23,560"	"1,640.6"	352.7	"25,020"	"1,741.8"	347.9	"25,560"	"1,779.3"	355.4	"28,480"	"1,983.7"	396.3	"29,440"	"2,049.9"	409.5	"28,940"	"2,015.3"	402.0	"31,640"	"2,203.4"	439.7	"34,020"	"2,369.8"	473.4	"$69,001 -  $70,000"	"36,280"	"2,526.4"	504.7	"37,660"	"2,623.0"	524.0	"37,710"	"2,625.9"	524.5		
"$70,001  - $71,000"	"4,390"	309.5	82.4	"4,740"	334.2	89.0	"5,470"	385.5	102.6	"5,940"	418.5	111.3	"7,690"	541.8	144.2	"8,740"	616.2	164.0	"8,660"	610.4	162.5	"11,960"	843.2	224.4	"14,340"	"1,010.4"	258.4	"$70,001  - $71,000"	"16,050"	"1,130.6"	261.9	"16,850"	"1,187.1"	256.9	"19,780"	"1,393.8"	280.3	"22,730"	"1,601.4"	322.1	"20,870"	"1,470.6"	295.8	"22,620"	"1,593.9"	320.6	"22,950"	"1,616.7"	324.5	"25,010"	"1,761.6"	353.8	"26,180"	"1,844.6"	371.0	"$70,001  - $71,000"	"28,450"	"2,004.5"	403.1	"30,130"	"2,122.5"	426.9	"31,180"	"2,196.4"	441.7		
"$71,001  - $72,000"	"4,280"	305.9	81.9	"5,120"	366.1	98.1	"5,140"	367.7	98.5	"5,950"	425.5	114.0	"6,530"	467.1	125.1	"8,540"	610.9	163.7	"9,030"	645.9	173.1	"11,090"	793.1	212.5	"11,960"	855.0	220.3	"$71,001  - $72,000"	"11,770"	841.3	196.7	"13,040"	932.7	203.8	"14,700"	"1,050.8"	213.3	"17,290"	"1,236.1"	250.9	"18,770"	"1,342.0"	272.4	"18,210"	"1,302.0"	264.3	"19,130"	"1,367.6"	277.1	"19,850"	"1,419.5"	287.6	"21,280"	"1,521.6"	308.9	"$71,001  - $72,000"	"23,110"	"1,652.5"	335.5	"24,040"	"1,718.7"	348.9	"24,620"	"1,760.6"	357.4		
"$72,001  - $73,000"	"3,610"	261.6	70.5	"4,680"	339.1	91.4	"5,030"	364.6	98.3	"5,430"	393.5	106.1	"6,830"	495.1	133.5	"7,110"	515.5	139.0	"8,170"	592.2	159.6	"10,120"	733.4	197.7	"11,330"	821.5	213.2	"$72,001  - $73,000"	"12,610"	914.3	215.6	"11,370"	824.3	181.6	"14,580"	"1,057.5"	216.6	"14,980"	"1,085.9"	222.3	"17,740"	"1,285.8"	263.2	"19,350"	"1,402.6"	287.1	"17,550"	"1,272.0"	260.0	"18,880"	"1,368.7"	279.7	"20,160"	"1,461.7"	299.3	"$72,001  - $73,000"	"21,830"	"1,582.6"	324.0	"22,930"	"1,662.4"	340.4	"23,360"	"1,693.6"	346.8		
"$73,001  - $74,000"	"3,220"	236.8	64.2	"4,580"	336.6	91.3	"4,930"	362.3	98.3	"5,580"	410.1	111.2	"7,160"	526.3	142.8	"7,390"	543.1	147.3	"7,870"	578.5	156.9	"9,100"	668.9	181.4	"10,640"	782.1	204.4	"$73,001  - $74,000"	"12,700"	932.7	221.7	"11,470"	843.1	187.3	"12,710"	934.2	192.9	"14,490"	"1,064.9"	219.9	"16,320"	"1,199.9"	247.8	"18,230"	"1,339.8"	276.6	"16,540"	"1,215.8"	250.4	"17,880"	"1,314.4"	270.7	"19,270"	"1,416.6"	292.5	"$73,001  - $74,000"	"20,470"	"1,504.4"	310.6	"21,850"	"1,605.8"	331.5	"22,390"	"1,645.7"	339.8		
"$74,001  - $75,000"	"3,670"	273.5	74.6	"4,000"	298.0	81.3	"4,570"	340.6	92.9	"5,180"	386.0	105.3	"5,770"	430.1	117.4	"6,380"	475.4	129.7	"6,810"	507.3	138.4	"9,260"	689.9	188.2	"10,800"	804.8	211.7	"$74,001  - $75,000"	"10,960"	816.7	195.8	"12,120"	903.4	202.3	"12,450"	928.0	193.2	"15,100"	"1,125.0"	234.1	"13,710"	"1,021.6"	212.6	"17,060"	"1,271.4"	264.7	"16,730"	"1,246.9"	259.0	"18,580"	"1,384.3"	287.6	"18,980"	"1,414.4"	294.4	"$74,001  - $75,000"	"20,240"	"1,507.8"	313.8	"21,500"	"1,601.8"	333.4	"21,950"	"1,635.5"	340.4		
"$75,001  - $76,000"	"3,010"	227.2	62.3	"3,460"	261.2	71.7	"4,000"	301.9	82.8	"5,660"	427.4	117.3	"6,520"	492.1	135.0	"6,720"	507.4	139.2	"6,880"	519.4	142.5	"7,910"	597.2	163.9	"10,440"	788.3	208.7	"$75,001  - $76,000"	"10,730"	810.0	195.7	"10,190"	769.3	173.6	"12,950"	978.0	205.2	"13,520"	"1,020.5"	214.0	"15,070"	"1,138.2"	238.8	"16,660"	"1,257.9"	263.8	"16,510"	"1,246.5"	260.9	"17,820"	"1,345.3"	281.4	"18,590"	"1,403.5"	294.4	"$75,001  - $76,000"	"20,080"	"1,515.8"	317.9	"21,240"	"1,603.3"	336.3	"21,690"	"1,637.6"	343.4		
"$76,001  - $77,000"	"3,150"	241.1	66.5	"3,190"	243.9	67.3	"3,900"	298.2	82.3	"4,690"	358.7	99.0	"5,700"	436.2	120.4	"5,570"	426.1	117.6	"7,020"	537.0	148.1	"8,160"	624.3	172.2	"9,170"	701.6	186.9	"$76,001  - $77,000"	"9,900"	757.5	184.4	"10,980"	839.7	190.9	"11,720"	896.6	189.5	"12,330"	943.2	199.3	"13,820"	"1,057.3"	223.4	"14,190"	"1,085.7"	229.4	"16,220"	"1,240.5"	261.5	"16,090"	"1,230.7"	259.5	"17,910"	"1,370.5"	289.6	"$76,001  - $77,000"	"18,930"	"1,448.1"	306.0	"19,910"	"1,523.3"	321.9	"20,460"	"1,565.1"	330.7		
"$77,001  - $78,000"	"3,040"	235.6	65.4	"4,020"	311.6	86.4	"4,070"	315.6	87.5	"4,000"	309.9	85.9	"5,440"	421.5	116.9	"6,270"	485.9	134.7	"6,380"	494.2	137.0	"7,480"	579.9	160.9	"8,600"	666.6	178.6	"$77,001  - $78,000"	"8,600"	666.6	163.4	"11,070"	858.3	196.6	"10,430"	808.7	172.2	"12,110"	938.4	199.7	"13,030"	"1,010.2"	215.0	"15,280"	"1,184.2"	252.0	"15,340"	"1,189.0"	252.4	"15,900"	"1,232.5"	261.9	"17,420"	"1,349.7"	287.3	"$77,001  - $78,000"	"18,710"	"1,450.2"	308.7	"19,360"	"1,500.3"	319.3	"19,910"	"1,542.7"	328.3		
"$78,001  - $79,000"	"3,040"	238.6	66.5	"3,540"	277.9	77.5	"4,030"	316.2	88.1	"3,940"	309.1	86.2	"5,320"	417.6	116.4	"6,240"	489.8	136.6	"7,080"	555.6	154.9	"6,150"	482.7	134.6	"8,210"	644.5	173.7	"$78,001  - $79,000"	"7,670"	602.0	148.6	"10,060"	789.7	182.1	"10,450"	820.3	175.8	"11,960"	939.0	201.3	"11,960"	938.6	201.1	"14,250"	"1,118.6"	239.7	"14,220"	"1,116.0"	238.4	"15,530"	"1,218.9"	260.5	"15,930"	"1,250.5"	268.0	"$78,001  - $79,000"	"18,490"	"1,451.3"	311.0	"18,430"	"1,446.9"	310.1	"18,970"	"1,489.3"	319.2		
"$79,001  - $80,000"	"3,430"	272.8	76.4	"2,910"	231.3	64.8	"3,600"	286.2	80.2	"4,510"	358.6	100.5	"4,210"	334.8	93.8	"5,820"	462.9	129.7	"6,920"	550.4	154.3	"7,520"	597.7	167.5	"8,030"	638.3	173.0	"$79,001  - $80,000"	"8,500"	676.1	168.1	"8,910"	708.8	164.6	"11,450"	910.5	196.5	"11,970"	951.7	205.4	"13,770"	"1,094.6"	236.2	"14,020"	"1,114.9"	240.6	"14,870"	"1,182.4"	254.4	"15,770"	"1,253.9"	270.0	"17,200"	"1,368.1"	295.3	"$79,001  - $80,000"	"18,590"	"1,478.5"	319.1	"19,280"	"1,532.8"	330.8	"18,990"	"1,509.9"	325.8		
"$80,000  - $81,000"	"3,340"	268.7	75.6	"3,110"	250.2	70.4	"3,110"	250.3	70.5	"3,820"	307.5	86.6	"4,430"	356.5	100.4	"5,970"	480.4	135.3	"6,100"	491.0	138.2	"6,110"	492.0	138.5	"7,150"	575.4	156.8	"$80,000  - $81,000"	"7,840"	631.0	157.9	"9,030"	727.0	169.9	"9,450"	760.7	165.2	"10,260"	825.5	179.2	"12,860"	"1,035.5"	224.9	"14,800"	"1,191.2"	258.7	"13,720"	"1,104.2"	239.2	"14,280"	"1,149.6"	248.8	"15,870"	"1,277.6"	277.5	"$80,000  - $81,000"	"17,490"	"1,408.1"	305.8	"19,230"	"1,547.9"	336.2	"19,310"	"1,554.5"	337.6		
"$81,001  - $82,000"	"2,720"	221.6	62.7	"3,240"	264.2	74.7	"3,100"	252.7	71.5	"3,730"	304.2	86.1	"4,740"	386.2	109.2	"4,180"	340.9	96.4	"6,370"	519.0	146.8	"6,390"	521.0	147.4	"7,110"	579.3	158.7	"$81,001  - $82,000"	"7,410"	604.3	152.2	"7,860"	640.9	150.8	"9,720"	792.1	173.1	"10,400"	847.4	185.2	"10,550"	860.1	188.1	"10,630"	866.6	189.4	"13,360"	"1,088.7"	237.4	"13,610"	"1,109.4"	241.8	"14,860"	"1,211.3"	264.8	"$81,001  - $82,000"	"16,440"	"1,340.2"	293.0	"17,610"	"1,434.9"	313.6	"17,770"	"1,448.2"	316.5		
"$82,001  - $83,000"	"2,590"	213.7	60.7	"2,490"	205.4	58.4	"3,300"	272.3	77.4	"3,330"	274.7	78.1	"3,820"	315.2	89.6	"4,720"	389.4	110.7	"5,240"	432.3	122.8	"5,400"	445.5	126.6	"7,280"	600.7	165.4	"$82,001  - $83,000"	"6,840"	564.6	143.1	"7,500"	618.3	146.3	"9,580"	790.3	173.8	"10,170"	838.9	184.5	"9,690"	799.6	175.9	"10,720"	884.3	194.5	"12,280"	"1,013.1"	221.9	"13,020"	"1,074.3"	235.4	"13,990"	"1,153.7"	253.7	"$82,001  - $83,000"	"15,730"	"1,297.8"	285.4	"17,070"	"1,408.3"	309.7	"17,120"	"1,412.5"	310.7		
"$83,001  - $84,000"	"2,450"	204.7	58.5	"2,760"	230.4	65.8	"2,500"	208.7	59.6	"3,450"	288.0	82.2	"3,820"	318.9	91.0	"4,150"	346.5	98.9	"4,870"	406.7	116.1	"5,370"	448.4	128.0	"6,540"	546.0	151.1	"$83,001  - $84,000"	"6,290"	525.3	133.9	"6,890"	575.1	136.9	"8,050"	672.4	148.8	"9,860"	823.3	182.2	"8,460"	706.2	156.2	"10,210"	852.9	188.7	"12,060"	"1,007.1"	222.1	"12,540"	"1,047.2"	231.0	"13,810"	"1,152.8"	255.1	"$83,001  - $84,000"	"15,110"	"1,262.0"	279.2	"16,430"	"1,371.5"	303.4	"16,720"	"1,396.3"	308.9		
"$84,001  - $85,000"	"2,350"	198.6	56.9	"3,180"	268.7	77.0	"2,960"	250.3	71.8	"3,300"	278.8	79.9	"3,470"	293.3	84.1	"4,370"	369.4	105.9	"4,830"	408.2	117.0	"6,290"	531.6	152.4	"6,370"	538.5	149.7	"$84,001  - $85,000"	"6,690"	565.7	145.1	"7,810"	660.2	158.1	"8,470"	715.9	159.3	"9,040"	763.9	170.0	"9,280"	784.3	174.6	"11,370"	961.1	213.9	"11,820"	998.8	221.5	"12,690"	"1,072.3"	237.9	"13,510"	"1,142.1"	254.2	"$84,001  - $85,000"	"14,830"	"1,253.4"	279.0	"16,430"	"1,388.3"	309.0	"17,210"	"1,455.0"	323.9		
"$85,001  - $86,000"	"2,490"	213.0	61.3	"2,520"	215.3	62.0	"2,670"	228.2	65.7	"3,200"	273.7	78.8	"3,500"	299.2	86.1	"4,300"	367.5	105.8	"4,580"	391.7	112.8	"5,270"	450.5	129.7	"4,880"	417.4	116.6	"$85,001  - $86,000"	"5,980"	511.1	131.7	"6,900"	589.7	142.0	"7,470"	638.8	143.0	"7,150"	611.3	136.8	"9,160"	783.0	175.2	"10,600"	906.8	203.0	"11,160"	954.4	212.9	"11,560"	988.4	220.6	"13,120"	"1,121.6"	251.0	"$85,001  - $86,000"	"13,850"	"1,184.4"	265.1	"15,770"	"1,348.4"	301.7	"16,980"	"1,451.3"	324.8		
"$86,001  - $87,000"	"2,200"	190.2	55.0	"2,510"	217.2	62.8	"2,720"	235.3	68.0	"3,500"	302.8	87.5	"3,430"	296.6	85.7	"4,190"	362.6	104.8	"4,550"	393.5	113.7	"5,110"	442.1	127.8	"5,840"	505.0	141.7	"$86,001  - $87,000"	"6,560"	567.6	147.1	"6,800"	588.3	142.5	"6,810"	589.2	132.6	"6,900"	596.7	134.3	"9,570"	827.8	186.3	"9,270"	801.7	180.4	"10,550"	912.7	204.8	"11,320"	979.0	219.6	"12,490"	"1,080.5"	243.1	"$86,001  - $87,000"	"13,620"	"1,178.4"	265.2	"14,680"	"1,270.0"	285.8	"15,450"	"1,336.7"	300.8		
"$87,001  - $88,000"	"2,120"	185.4	53.8	"2,520"	220.4	63.9	"2,040"	178.5	51.8	"2,470"	216.3	62.8	"2,850"	249.3	72.3	"3,910"	342.2	99.3	"4,130"	361.5	104.9	"5,710"	499.9	145.1	"5,700"	498.9	140.6	"$87,001  - $88,000"	"6,020"	526.9	137.3	"6,550"	573.2	139.5	"7,550"	660.7	149.5	"7,070"	618.9	140.0	"7,810"	683.4	154.6	"9,830"	860.1	194.6	"9,810"	858.3	193.6	"10,420"	911.4	205.7	"11,850"	"1,036.9"	234.6	"$87,001  - $88,000"	"13,100"	"1,146.4"	259.3	"14,310"	"1,251.7"	283.2	"14,790"	"1,294.2"	292.8		
"$88,001  - $89,000"	"1,630"	144.3	42.0	"2,220"	196.6	57.3	"2,380"	210.6	61.4	"2,560"	226.5	66.0	"2,580"	228.4	66.5	"3,760"	332.9	97.0	"4,340"	384.2	111.9	"4,440"	392.8	114.4	"5,470"	484.0	137.0	"$88,001  - $89,000"	"5,700"	504.5	132.1	"6,110"	540.9	132.4	"7,430"	657.8	149.6	"7,810"	691.1	157.1	"8,550"	756.9	172.1	"8,640"	764.4	173.8	"9,600"	849.8	192.5	"10,510"	929.7	210.7	"11,150"	986.5	224.3	"$88,001  - $89,000"	"12,530"	"1,108.4"	252.0	"13,820"	"1,223.2"	278.1	"14,910"	"1,319.7"	300.1		
"$89,001  - $90,000"	"1,710"	152.9	44.7	"2,410"	215.8	63.1	"2,310"	206.8	60.5	"2,340"	209.5	61.3	"3,240"	290.2	84.9	"3,260"	291.8	85.3	"3,920"	351.1	102.7	"4,790"	428.7	125.4	"5,440"	487.2	138.5	"$89,001  - $90,000"	"6,280"	562.2	148.0	"5,890"	527.6	129.8	"6,330"	566.8	129.6	"6,900"	617.5	141.1	"7,470"	668.9	152.9	"8,750"	783.5	179.1	"9,780"	875.7	199.6	"10,540"	943.5	215.1	"11,610"	"1,039.4"	237.6	"$89,001  - $90,000"	"12,500"	"1,118.8"	255.7	"14,170"	"1,268.2"	289.9	"14,660"	"1,312.6"	300.0		
"$90,001  - $91,000"	"1,870"	169.2	49.7	"2,220"	200.9	59.0	"1,900"	171.9	50.4	"2,570"	232.6	68.3	"2,690"	243.3	71.4	"3,430"	310.3	91.1	"4,060"	367.4	107.9	"4,200"	380.0	111.5	"4,850"	438.8	125.2	"$90,001  - $91,000"	"4,540"	411.0	108.7	"5,300"	479.5	118.5	"6,140"	555.6	127.6	"6,580"	595.5	136.8	"7,380"	667.8	153.4	"8,430"	762.8	175.2	"9,220"	834.5	191.1	"9,550"	864.3	198.0	"10,520"	951.8	218.6	"$90,001  - $91,000"	"11,920"	"1,079.1"	247.8	"13,360"	"1,208.7"	277.6	"13,830"	"1,251.3"	287.4		
"$91,001  - $92,000"	"1,900"	173.9	51.2	"2,320"	212.2	62.5	"2,060"	188.5	55.5	"2,700"	247.0	72.8	"3,220"	294.7	86.8	"3,120"	285.5	84.1	"3,480"	318.5	93.8	"4,020"	367.8	108.3	"4,800"	439.0	125.8	"$91,001  - $92,000"	"4,970"	454.7	120.8	"5,560"	508.8	126.3	"5,940"	543.6	125.5	"6,130"	561.0	129.5	"6,680"	611.4	141.1	"6,920"	633.2	146.1	"8,690"	795.0	183.1	"8,840"	808.8	186.0	"10,060"	920.2	212.4	"$91,001  - $92,000"	"11,280"	"1,031.8"	238.1	"12,710"	"1,162.9"	268.4	"13,230"	"1,210.8"	279.4		
"$92,001  - $93,000"	"1,500"	138.9	41.1	"2,050"	189.6	56.0	"2,230"	206.3	61.0	"2,210"	204.4	60.4	"2,380"	220.2	65.1	"3,520"	325.7	96.3	"3,470"	320.9	94.9	"4,220"	390.2	115.3	"4,400"	407.0	117.1	"$92,001  - $93,000"	"4,030"	372.6	99.5	"4,670"	432.0	107.7	"5,840"	540.0	125.2	"5,480"	506.7	117.5	"7,030"	650.2	150.7	"7,130"	659.3	152.8	"8,230"	761.0	176.0	"8,710"	805.6	186.3	"9,590"	887.5	205.8	"$92,001  - $93,000"	"10,790"	998.5	231.5	"12,020"	"1,112.1"	257.8	"12,770"	"1,181.0"	273.8		
